category,model,model_description,model_name,manufacturer,weight,price
Motor_Adapters," EVW -TA-
E10
","  EV W est BMW E10 2002 Billet
Aluminum T ransmission Adapter
This beautiful adapter will fit most
9 inch motors ...
",EV W est BMW E10 2002 Billet," : EV West
",: 25.00,"$1,395.00"
Motor_Adapters,"
","  Ford Duratec Adapter
All adapters retain use of original
clutch and fit ...
",Ford Duratec Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Ford Ranger 2.3L  Adapter
All adapters retain use of original
clutch and fit ...
",Ford Ranger 2.3L  Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Ford Ranger 3L  Adapter
All adapters retain use of original
clutch and fit ...
",Ford Ranger 3L  Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Ford Small Block Adapter
All adapters retain use of original
clutch and fit ...
",Ford Small Block Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  GEO Adapters
All adapters retain use of original
clutch and fit ...
",GEO Adapters," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Honda Adapter
All adapters retain use of original
clutch and fit ...
",Honda Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Mazda B2300 Adapter
All adapters retain use of original
clutch and fit ...
",Mazda B2300 Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Mazda B3000 Adapter
All adapters retain use of original
clutch and fit ...
",Mazda B3000 Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Mazda Miata
All adapters retain use of original
clutch and fit ...
",Mazda Miata," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Mazda RX7/RX8 Motor Adapter and
Coupler
All adapters retain use of original
clutch and fit ...
",Mazda RX7/RX8 Motor Adapter and," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Nissan Adapter
All adapters retain use of original
clutch and fit ...
",Nissan Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  S10 Adapter
All adapters retain use of original
clutch and fit ...
",S10 Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Saturn Adapter
All adapters retain use of original
clutch and fit ...
",Saturn Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Suzuki Adapter
All adapters retain use of original
clutch and fit ...
",Suzuki Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Toyota 1ZZ & 2ZZ Adapter
All adapters retain use of original
clutch and fit ...
",Toyota 1ZZ & 2ZZ Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Toyota 22R adapter
All adapters retain use of original
clutch and fit ...
",Toyota 22R adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters,"
","  Toyota S Adapter
All adapters retain use of original
clutch and fit ...
",Toyota S Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motor_Adapters," VW Dual
Adpt
","  VW Porsche Air Cooled Billet
Aluminum T ransmission Dual
Motor Adapter
This all billet adapter will fit
HPEVS AC-34, AC-3 ...
",VW Porsche Air Cooled Billet," : EV West
",: 225.00,"$2,999.00"
Motor_Adapters,"
","  VW Rabbit Adapter
All adapters retain use of original
clutch and fit ...
",VW Rabbit Adapter," : Canadian EV
",: 9.00,"$1,300.00"
Motors," AMR 250-
90
","  AM Racing AMR 250-90 Single AC
Motor - Liquid Cooled, Permanent
Magnet - Remy Cartridge
This AM Racing motor is based
on the very proven R ...
",AM Racing AMR 250-90 Single AC," : AM Racing
",: 150.00,"$10,900.00"
Motors," AMR 250-
90D
","  AM Racing AMR Dual Stack 250-90
AC Motor - Liquid Cooled,
Permanent Magnet - Remy
This AM Racing motor is based
on the very proven R ...
",AM Racing AMR Dual Stack 250-90," : AM Racing
",: 180.00,"$18,488.00"
Motors," AC20/48
","  Curtis 1236SE-5621 HPEVS AC-20
Brushless AC Motor Kit - 48 V olt
The AC20 is an AC induction
motor that operates at ...
",Curtis 1236SE-5621 HPEVS AC-20," : HPEVS
",: 60.00,"$3,050.00"
Motors," AC-34-48
","  Curtis 1236SE-5621 HPEVS AC-34
Brushless AC Motor Kit - 48 V olts
The AC-34 is an AC motor that
operates at 36-60V. ...
",Curtis 1236SE-5621 HPEVS AC-34," : HPEVS
",: 85.00,"$3,500.00"
Motors," Motor
","  Curtis 1236SE-5621 HPEVS AC-9
Brushless AC Motor Kit - 48 V olt
The AC-9 is an AC motor that
operates at 36-60V. I ...
",Curtis 1236SE-5621 HPEVS AC-9," : HPEVS
",: 50.00,"$2,625.00"
Motors," Motor
","  Curtis 1238-6501 HPEVS AC-20
Brushless AC Motor Kit - 72 V olt
The AC-20 is an AC motor that
operates at 48-80V. ...
",Curtis 1238-6501 HPEVS AC-20," : HPEVS
",: 60.00,"$3,599.00"
Motors," Motor
","  Curtis 1238-6501 HPEVS AC-34
Brushless AC Motor Kit - 72 V olt
The AC-34 is an AC motor that
operates at 48-80V. ...
",Curtis 1238-6501 HPEVS AC-34," : HPEVS
",: 85.00,"$4,225.00"
Motors," Motor
","  Curtis 1238-7601 HPEVS AC-20
Brushless AC Motor Kit - 96 V olt
The AC20 is an AC induction
motor that operates at ...
",Curtis 1238-7601 HPEVS AC-20," : HPEVS
",: 60.00,"$4,300.00"
Motors," Motor
","  Curtis 1238-7601 HPEVS AC-23
Brushless AC Motor Kit - 96 V olt
The AC 23 motor is same size as
its sister motor t ...
",Curtis 1238-7601 HPEVS AC-23," : HPEVS
",: 60.00,"$3,800.00"
Motors," AC-34-96
","  Curtis 1238-7601 HPEVS AC-34
Brushless AC Motor Kit - 96 V olt
The AC-34 is an AC motor that
operates at 72-128V. ...
",Curtis 1238-7601 HPEVS AC-34," : HPEVS
",: 120.00,"$4,550.00"
Motors," AC-50-96
","  Curtis 1238-7601 HPEVS AC-50
Brushless AC Motor Kit - 96 V olt
The AC50 is an AC motor that
operates at 72-108V. ...
",Curtis 1238-7601 HPEVS AC-50," : HPEVS
",: 150.00,"$5,200.00"
Motors," AC2-34
","  Curtis 1238e-7621 HPEVS Dual AC-
34 Brushless Motor Kit - 96 V olt
This is a great dual motor setup
for vehicles up t ...
",Curtis 1238e-7621 HPEVS Dual AC-," : HPEVS
",: 160.00,"$8,950.00"
Motors," AC-35-144
","  Curtis 1239e-8521 HPEVS AC-35
Brushless AC Motor Kit - 144 V olt
The AC35 is an AC motor that
operates at 120-164V. ...
",Curtis 1239e-8521 HPEVS AC-35," : HPEVS
",: 120.00,"$4,825.00"
Motors," AC-51-144
","  Curtis 1239e-8521 HPEVS AC-51
Brushless AC Motor Kit - 144 V olt
The AC51 is an AC motor that
operates at a higher ...
",Curtis 1239e-8521 HPEVS AC-51," : HPEVS
",: 150.00,"$5,499.00"
Motors," AC2-35-144
","  Curtis 1239e-8521 HPEVS Dual AC-
35 Brushless Motor Kit - 144 V olt
This is a great dual motor setup
for vehicles up t ...
",Curtis 1239e-8521 HPEVS Dual AC-," : HPEVS
",: 160.00,"$10,100.00"
Motors," H9-ACX1
","  NetGain HyPer9 AC Motor X1
Controller Kit 120 V olt
The long awaited AC motor from
NetGain is here. T ...
",NetGain HyPer9 AC Motor X1," : NetGain
Motors
",: 120.00,"$5,150.00"
Motors," H9HV -
ACX144
","  NetGain HyPer9 HV AC Motor X144
Controller Kit 144 V olt
The long awaited higher voltage
AC motor from Net ...
",NetGain HyPer9 HV AC Motor X144," : NetGain
Motors
",: 120.00,"$5,400.00"
Motors," TSLA-MS-
AWD
","  Tesla Dual Motor All Wheel Drive
Kit - EV Controls T2-C Controller
We now have the Tesla ",Tesla Dual Motor All Wheel Drive," : Tesla
",: 550.00,"$17,900.00"
Motors," TSLA-MS-
FRT
","  Tesla Front Motor Kit - EV Controls
T2-C Controller
We now have the Tesla ",Tesla Front Motor Kit - EV Controls," : Tesla
",: 230.00,"$9,900.00"
Motors," TSLA-M3-
T2C
",  Tesla ,Tesla," : Tesla
",: 225.00,"$9,900.00"
Motors," TSLA-MS-
DU
",  Tesla ,Tesla," : Tesla
",: 295.00,"$11,900.00"
Motors," TSLA-MS-
SDU
","  Tesla Small Rear Drive Unit -
Starter Kit - EV Controls T2-C
Controller
With such a small total package,
this drive unit s ...
",Tesla Small Rear Drive Unit -," : Tesla
",: 225.00,"$9,900.00"
Services," EVLC-
EV101.3
","  EV101 T raining Class - Hosted by
the Electric V ehicle T raining Center
About this event: Who: Open to
the public with pr ...
",EV101 T raining Class - Hosted by," : EV West
",: 0.00,"$1,500.00"
Services," Free
Consult
","  Performance Specification &
Review
Bring your EV by for a free review
of your perform ...
",Performance Specification &," : EV West
",: 0.00,$0.00
Services," Support
","  Technical Support & Counseling -
15 Minutes
Building your own EV and need
that little extra su ...
",Technical Support & Counseling -," : EV West
",: 0.00,$25.00
Services,"
","  Vehicle Wheel Scales, Corner
Balancing
Come get your vehicle Corner
balanced with our sta ...
","Vehicle Wheel Scales, Corner"," : EV West
",: 0.00,$50.00
Used_Components," SC-HVC
","  2 Pole T yco High V oltage
Receptacle Connector and Cable
Plug from Electric Smart Car
These Two Pole Tyco connectors
were used in a 330V ...
",2 Pole T yco High V oltage," : Tyco Kilovac
",: 5.00,$60.00
Used_Components," SC-SHUNT
","  200 Amp 50 mV Shunt from
Electric Smart Car
This 200 Amp 50 MV commercial
shunt by Empro has l ...
",200 Amp 50 mV Shunt from," : Empro
Shunts
",: 0.00,$20.00
Used_Components," SC-WH
","  In-line Fluid Heater from Electric
Smart Car
This used Calix in-line water
heater is Swedish ma ...
",In-line Fluid Heater from Electric," : Smart
",: 1.00,$60.00
Used_Components," SC-PCR
","  Precharge Resistor from T esla and
Electric Smart Car
These precharge resistors are
made by RARA, a high ...
",Precharge Resistor from T esla and," : Tesla
",: 0.00,$29.00
Used_Components," Tesla MS
",  Tesla ,Tesla," : Tesla
",: 55.00,"$1,580.00"
Used_Components," SC-HE
","  Used 1500W Electric V ehicle
Heater , Ceramic PTC Element -
From Electric Smart Car
This ceramic PTC electric heater
from an OEM proto ...
",Used 1500W Electric V ehicle," : Behr
",: 3.00,$99.00
Used_Components," SC-
INER TIA
","  Used Inertia Switch from Electric
Smart Car
This USED 360 degree crash
sensor can directly shu ...
",Used Inertia Switch from Electric," :
",: 1.00,$25.00
Used_Components," SC-F AN
","  Used Radiator Fan from Electric
Smart Car
This Behr fan is from the radiator
assembly of a S ...
",Used Radiator Fan from Electric," : Smart
",: 3.00,$40.00
Used_Components," SC-RAD
","  Used Radiator from Electric Smart
Car
This Behr radiator was in a
cooling system with a ...
",Used Radiator from Electric Smart," : Smart
",: 4.00,$80.00
Used_Components," SC-PED
","  Used Throttle Pedal with Plug -
From Electric Smart Car
These Used Smart FourTwo
pedals create acceleratio ...
",Used Throttle Pedal with Plug -," : Smart
",: 1.00,$80.00
Used_Components," Throttle
","  Used T oyota Prius Throttle Pedal
with Plug 78120-47050
These Standard OE Motor
accelerator pedal sensors ...
",Used T oyota Prius Throttle Pedal," : EV West
",: 2.00,$139.00
Used_Components," SC-WP
","  Used W ater Pump from Electric
Smart Car
This OEM pump has been used
for less than 5000 mil ...
",Used W ater Pump from Electric," : Smart
",: 3.00,$80.00
